UIN,Complete15under,Q1_rate_1,Q1_rate_2,Q1_rate_3,Q1_rate_4,Q1_rate_5,Q1_rate_6,Q1_rate_7,Q2_rate_1,Q2_rate_2,Q2_rate_3,Q2_rate_4,Q2_rate_5,Q2_rate_6,Q2_rate_7,Q3_rate_1,Q3_rate_2,Q3_rate_3,Q3_rate_4,Q3_rate_5,Q3_rate_6,Q3_rate_7,Q4_rate_1,Q4_rate_2,Q4_rate_3,Q4_rate_4,Q4_rate_5,Q4_rate_6,Q4_rate_7,Q5_rate_1,Q5_rate_2,Q5_rate_3,Q5_rate_4,Q5_rate_5,Q5_rate_6,Q5_rate_7,Q6_rate_1,Q6_rate_2,Q6_rate_3,Q6_rate_4,Q6_rate_5,Q6_rate_6,Q6_rate_7,Q7_rate_1,Q7_rate_2,Q7_rate_3,Q7_rate_4,Q7_rate_5,Q7_rate_6,Q7_rate_7,Q8_rate_1,Q8_rate_2,Q8_rate_3,Q8_rate_4,Q8_rate_5,Q8_rate_6,Q8_rate_7,HighTrustNetwork,HighEmoCloseNetwork,LowTrustNetwork,LowEmoCloseNetwork
64,1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,90,90,80,80,100,90,100,80,50,50,60,80,80,80,50,50,60,50,100,80,80,80,80,80,80,100,80,80,80,80,80,80,100,80,80,80,80,80,80,100,90,95,90
65,1,100,92,84,67,60,50,81,99,90,90,34,69,31,86,92,84,84,59,12,8,65,100,91,99,37,68,37,90,84,100,90,7,9,8,80,100,71,85,73,34,32,50,61,82,82,59,50,50,31,80,79,62,50,83,50,66,90.25,87.5,88.75,81.5
66,1,95,100,97,94,64,74,100,98,99,95,81,50,57,100,100,100,100,99,100,59,58,100,99,100,59,2,0,63,100,100,100,95,90,50,100,96,98,96,99,68,99,96,92,61,97,94,68,50,60,50,83,16,61,60,92,73,95.75,97.5,87,77.75
67,1,71,91,15,91,90,81,17,32,73,18,90,22,26,24,27,28,19,81,26,15,20,19,81,19,90,25,24,22,50,74,13,100,16,23,25,33,82,38,100,15,24,17,29,19,16,92,25,31,22,31,21,24,93,29,30,26,38,22,35,18.5
68,1,67,39,39,40,43,59,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,27,16,60,70,43,69,55,43,38,41,59,68,2,30,33,32,36,31,33,33,29,29,26,27,24,29,22,12,12,0,28,45,15,15,38,28.25,16.75,9.5
69,1,100,100,100,80,50,70,100,65,86,70,50,50,78,70,100,100,100,66,70,50,50,91,100,100,85,50,75,80,70,91,100,65,50,50,70,100,86,100,50,50,50,80,86,83,84,50,50,50,50,75,75,60,50,50,75,100,94.25,96,77.5,82.5
70,1,83,100,68,54,55,56,76,74,87,62,37,56,41,61,12,60,11,70,87,66,70,64,70,40,80,77,56,35,37,64,37,76,66,79,33,70,77,58,89,50,61,39,71,65,83,39,41,50,36,60,83,38,80,71,64,60,72,62.25,45.75,37
71,1,91,87,70,63,91,95,83,71,76,74,88,83,83,79,83,77,66,69,94,89,86,90,72,74,54,95,95,76,87,80,63,60,94,68,69,86,81,95,84,86,95,100,95,79,77,68,84,93,85,78,87,79,85,91,95,78,90.5,79,79.75,70.5
72,1,100,70,90,100,30,30,80,90,85,91,70,15,60,85,100,80,80,70,60,60,90,100,90,100,85,20,21,30,100,75,100,85,70,60,80,100,100,100,100,20,20,75,90,90,90,80,45,40,50,75,80,75,70,25,27,100,97.5,95,91.25,86.5
73,1,100,83,96,61,35,53,68,72,41,77,61,38,55,73,100,72,95,39,33,50,37,95,72,84,60,29,40,52,50,50,50,50,50,50,50,100,97,96,31,36,28,63,51,50,50,50,50,50,50,65,31,79,74,42,61,77,86.5,81.5,71.75,75.25
74,1,93,96,95,72,50,50,96,100,89,100,62,45,45,100,71,86,60,100,94,94,78,96,66,99,62,50,57,58,95,48,93,50,50,50,65,84,50,75,50,72,66,50,95,80,88,88,60,40,90,85,95,98,60,27,39,96,92,89.25,87.75,87.75
75,1,85,100,100,100,80,80,100,85,90,100,100,80,80,100,90,90,100,100,80,60,80,100,100,100,100,80,70,100,100,90,100,80,80,80,100,100,85,100,100,80,80,90,90,80,100,100,70,80,80,85,100,90,90,85,75,100,93.75,100,90,97.5
76,1,100,100,100,70,100,100,100,100,70,100,50,80,100,60,100,100,80,70,81,70,80,100,100,100,0,0,0,100,100,100,100,0,0,0,0,100,100,100,100,100,50,100,100,100,100,50,100,50,100,100,100,100,50,50,50,100,100,100,100,95
