ID,dorm,Empathy_Factor,NegAffect_Factor,PosAffect_Factor,LifeSatTransf_Factor,inDegreeQ1,inDegreeQ2,inDegreeQ3,inDegreeQ4,inDegreeQ5,inDegreeQ6,inDegreeQ7,inDegreeQ8,inDegreeQ9,high_trust,low_trust,high_fun,low_fun
322,4,5.38,2.1,1.48,9.01,0,0,0,0,0,1,1,0,1,0.5,0,0.25,0.25
323,4,4.54,3.57,2.02,5.36,1,1,1,0,0,0,0,0,0,0.25,0.5,0.5,0.25
324,4,4.63,3.91,1.67,5.22,0,0,0,0,0,0,0,0,0,0,0,0,0
325,4,4.72,3.5,2.13,7.86,1,1,1,0,1,0,0,0,3,0.25,0.75,0.5,0.5
326,4,5.97,3.44,2.1,3.53,3,3,0,2,2,2,1,2,0,2,1.75,2.5,1.25
327,4,5.91,4.03,2.22,10.9,9,8,4,3,5,6,4,4,4,5.5,5.25,6.75,4
328,4,5.61,3.05,1.98,11.57,6,6,4,4,4,3,1,4,1,3.5,4.5,4.75,3.25
329,4,7.33,3.45,2.22,10.44,2,2,2,2,2,2,1,1,1,1.75,1.75,1.75,1.75
330,4,8.11,4.22,2.68,8.31,6,6,2,2,5,7,10,9,0,6.25,5.5,7,4.75
331,4,7.1,2.4,2.26,9.99,4,4,3,3,4,3,5,4,0,3.75,3.75,3.75,3.75
332,4,4.29,2.99,2.04,6.7,2,3,0,1,1,1,0,3,1,1,1.75,2.25,0.5
333,4,5.78,3.76,2.42,10.44,6,5,3,2,5,6,1,4,2,3.75,4.25,5.25,2.75
334,4,7.34,4.31,1.77,6.7,2,2,1,1,1,1,0,0,0,1,1,1.25,0.75
335,4,5.5,2.91,1.58,8.25,6,8,0,2,3,2,0,2,0,2.5,3.25,4.5,1.25
336,4,5.05,2.77,1.82,10.7,5,2,1,1,2,1,2,2,2,2.25,1.75,2.5,1.5
337,4,5.38,4.39,1.74,4.88,11,11,6,5,9,5,0,6,1,5.25,8,8.25,5
338,4,7.7,2.68,2.42,6.35,14,10,3,5,6,5,3,3,2,6.75,5.5,8,4.25
339,4,6.93,4.73,2.36,6.35,1,1,1,0,0,0,0,1,0,0.25,0.75,0.75,0.25
340,4,4.39,4.38,2.08,6.5,4,1,2,2,2,2,0,0,1,2,1.25,1.75,1.5
341,4,6.2,3.29,1.75,3.5,3,3,0,0,1,0,0,1,0,0.75,1.25,1.75,0.25
342,4,4.43,2.91,2.37,13.43,7,5,3,2,4,2,1,7,10,3,4.75,5.25,2.5
343,4,5.59,3.7,2.43,3.75,1,1,0,1,1,1,2,1,1,1.25,0.75,1,1
344,4,8.16,2.71,2.83,8.95,8,8,4,2,6,5,1,8,4,4,6.5,7.25,3.25
345,4,8.4,2.98,2.21,5.36,1,1,1,1,1,2,1,1,0,1.25,1,1.25,1
346,4,7.57,3.68,1.89,6.05,6,7,3,6,6,5,5,6,0,5.5,5.5,6,5
347,4,7.73,2.83,1.91,2.32,9,8,2,6,4,9,8,5,2,8,4.75,7.75,5
348,4,6.38,2.51,2.86,11.92,7,5,3,3,6,5,2,8,0,4.25,5.5,6.25,3.5
349,4,5.28,3.44,1.38,5.54,4,4,1,2,3,3,3,4,0,3,3,3.75,2.25
350,4,5.05,3.77,2.26,8.43,1,2,2,2,2,2,2,3,1,1.75,2.25,2,2
351,4,6.95,2.93,2.08,0.39,9,6,3,2,5,5,4,6,1,5,5,6.5,3.5
